scraper	article	wer
boilernet	APNews_0.html.gz	0.6891891891891891
boilernet	APNews_1.html.gz	0.8021978021978022
boilernet	APNews_2.html.gz	0.703962703962704
boilernet	APNews_3.html.gz	1.0
boilernet	APNews_4.html.gz	0.17094017094017094
boilernet	CNBC_0.html.gz	0.25280898876404495
boilernet	CNBC_1.html.gz	0.23538011695906433
boilernet	CNBC_2.html.gz	0.1606280193236715
boilernet	CNBC_3.html.gz	0.38636363636363635
boilernet	CNBC_4.html.gz	2.2864864864864867
boilernet	FoxNews_0.html.gz	0.09925093632958802
boilernet	FoxNews_1.html.gz	0.17473684210526316
boilernet	FoxNews_2.html.gz	0.2944038929440389
boilernet	FoxNews_3.html.gz	0.5132450331125827
boilernet	FoxNews_4.html.gz	0.38402061855670105
boilernet	FreeBeacon_0.html.gz	0.18725099601593626
boilernet	FreeBeacon_1.html.gz	0.13651877133105803
boilernet	FreeBeacon_2.html.gz	0.14479638009049775
boilernet	FreeBeacon_3.html.gz	0.12663755458515283
boilernet	FreeBeacon_4.html.gz	0.0587248322147651
boilernet	LATimes_0.html.gz	0.029787234042553193
boilernet	LATimes_1.html.gz	0.2113870381586917
boilernet	LATimes_2.html.gz	0.07692307692307693
boilernet	LATimes_3.html.gz	0.11304807184363444
boilernet	LATimes_4.html.gz	0.18375094912680334
boilernet	OccupyDemocrats_0.html.gz	0.11849710982658959
boilernet	OccupyDemocrats_1.html.gz	0.48747591522157996
boilernet	OccupyDemocrats_2.html.gz	0.06472081218274112
boilernet	OccupyDemocrats_3.html.gz	0.28704663212435233
boilernet	OccupyDemocrats_4.html.gz	0.10173697270471464
boilernet	Reuters_0.html.gz	0.0
boilernet	Reuters_1.html.gz	0.023411371237458192
boilernet	Reuters_2.html.gz	1.0
boilernet	Reuters_3.html.gz	0.6871165644171779
boilernet	Reuters_4.html.gz	0.3341317365269461
boilernet	TheGatewayPundit_0.html.gz	0.0
boilernet	TheGatewayPundit_1.html.gz	0.2493150684931507
boilernet	TheGatewayPundit_2.html.gz	0.031545741324921134
boilernet	TheGatewayPundit_3.html.gz	0.4274193548387097
boilernet	TheGatewayPundit_4.html.gz	0.07003444316877153
boilernet	TheGuardian_0.html.gz	0.03804347826086957
boilernet	TheGuardian_1.html.gz	0.07210626185958255
boilernet	TheGuardian_2.html.gz	0.02525832376578645
boilernet	TheGuardian_3.html.gz	0.06474820143884892
boilernet	TheGuardian_4.html.gz	0.11659192825112108
boilernet	TheIndependent_0.html.gz	0.2810810810810811
boilernet	TheIndependent_1.html.gz	4.821192052980132
boilernet	TheIndependent_2.html.gz	0.10822510822510822
boilernet	TheIndependent_3.html.gz	0.22473867595818817
boilernet	TheIndependent_4.html.gz	2.1743119266055047
boilernet	TheIntercept_0.html.gz	0.09755279919544083
boilernet	TheIntercept_1.html.gz	0.3159722222222222
boilernet	TheIntercept_2.html.gz	0.14163372859025034
boilernet	TheIntercept_3.html.gz	1.1151079136690647
boilernet	TheIntercept_4.html.gz	0.09191121704156115
boilernet	TheNation_0.html.gz	0.20498220640569395
boilernet	TheNation_1.html.gz	0.15805356469256884
boilernet	TheNation_2.html.gz	0.1735052754982415
boilernet	TheNation_3.html.gz	0.18280467445742904
boilernet	TheNation_4.html.gz	0.07007125890736342
boilernet	TheNewYorker_0.html.gz	0.03941487200325071
boilernet	TheNewYorker_1.html.gz	0.01572052401746725
boilernet	TheNewYorker_2.html.gz	0.025893958076448828
boilernet	TheNewYorker_3.html.gz	0.024354603019970774
boilernet	TheNewYorker_4.html.gz	0.02576235541535226
boilernet	TheTelegraph_0.html.gz	0.3141891891891892
boilernet	TheTelegraph_1.html.gz	0.1606837606837607
boilernet	TheTelegraph_2.html.gz	0.36231884057971014
boilernet	TheTelegraph_3.html.gz	0.11135795612329909
boilernet	TheTelegraph_4.html.gz	0.06684491978609626
boilernet	WashingtonTimes_0.html.gz	0.22448979591836735
boilernet	WashingtonTimes_1.html.gz	0.2987012987012987
boilernet	WashingtonTimes_2.html.gz	0.24666666666666667
boilernet	WashingtonTimes_3.html.gz	0.21606118546845124
boilernet	WashingtonTimes_4.html.gz	0.15136876006441224
boilernet	iNews_0.html.gz	0.018998272884283247
boilernet	iNews_1.html.gz	0.05463917525773196
boilernet	iNews_2.html.gz	0.15601023017902813
boilernet	iNews_3.html.gz	0.06632975363234365
boilernet	iNews_4.html.gz	0.18810975609756098
boilerpipe	APNews_0.html.gz	0.26652452025586354
boilerpipe	APNews_1.html.gz	0.3494809688581315
boilerpipe	APNews_2.html.gz	0.958041958041958
boilerpipe	APNews_3.html.gz	0.65625
boilerpipe	APNews_4.html.gz	0.2774451097804391
boilerpipe	CNBC_0.html.gz	0.06435643564356436
boilerpipe	CNBC_1.html.gz	0.15625
boilerpipe	CNBC_2.html.gz	0.034324942791762014
boilerpipe	CNBC_3.html.gz	0.109375
boilerpipe	CNBC_4.html.gz	0.15135135135135136
boilerpipe	FoxNews_0.html.gz	0.9932367149758454
boilerpipe	FoxNews_1.html.gz	0.9893503727369543
boilerpipe	FoxNews_2.html.gz	0.9878345498783455
boilerpipe	FoxNews_3.html.gz	0.9768211920529801
boilerpipe	FoxNews_4.html.gz	0.9863760217983651
boilerpipe	FreeBeacon_0.html.gz	0.09362549800796813
boilerpipe	FreeBeacon_1.html.gz	0.07508532423208192
boilerpipe	FreeBeacon_2.html.gz	0.08144796380090498
boilerpipe	FreeBeacon_3.html.gz	0.07860262008733625
boilerpipe	FreeBeacon_4.html.gz	0.02348993288590604
boilerpipe	LATimes_0.html.gz	0.3840425531914894
boilerpipe	LATimes_1.html.gz	0.3924894003634161
boilerpipe	LATimes_2.html.gz	0.040328603435399554
boilerpipe	LATimes_3.html.gz	0.4300052826201796
boilerpipe	LATimes_4.html.gz	0.7767653758542141
boilerpipe	OccupyDemocrats_0.html.gz	0.14450867052023122
boilerpipe	OccupyDemocrats_1.html.gz	0.20423892100192678
boilerpipe	OccupyDemocrats_2.html.gz	0.07233502538071065
boilerpipe	OccupyDemocrats_3.html.gz	0.20725388601036268
boilerpipe	OccupyDemocrats_4.html.gz	0.12406947890818859
boilerpipe	Reuters_0.html.gz	0.6746987951807228
boilerpipe	Reuters_1.html.gz	0.21453287197231835
boilerpipe	Reuters_2.html.gz	0.6388888888888888
boilerpipe	Reuters_3.html.gz	0.8773006134969326
boilerpipe	Reuters_4.html.gz	0.23029556650246305
boilerpipe	TheGatewayPundit_0.html.gz	0.0
boilerpipe	TheGatewayPundit_1.html.gz	0.0136986301369863
boilerpipe	TheGatewayPundit_2.html.gz	0.00946372239747634
boilerpipe	TheGatewayPundit_3.html.gz	0.2862903225806452
boilerpipe	TheGatewayPundit_4.html.gz	0.09269988412514485
boilerpipe	TheGuardian_0.html.gz	0.06997282608695653
boilerpipe	TheGuardian_1.html.gz	0.23454545454545456
boilerpipe	TheGuardian_2.html.gz	0.05704697986577181
boilerpipe	TheGuardian_3.html.gz	0.0671462829736211
boilerpipe	TheGuardian_4.html.gz	0.014778325123152709
boilerpipe	TheIndependent_0.html.gz	0.7945945945945946
boilerpipe	TheIndependent_1.html.gz	2.5033112582781456
boilerpipe	TheIndependent_2.html.gz	0.9960629921259843
boilerpipe	TheIndependent_3.html.gz	0.3653516295025729
boilerpipe	TheIndependent_4.html.gz	0.9381443298969072
boilerpipe	TheIntercept_0.html.gz	0.40566992912588595
boilerpipe	TheIntercept_1.html.gz	0.8055555555555556
boilerpipe	TheIntercept_2.html.gz	0.544137022397892
boilerpipe	TheIntercept_3.html.gz	0.28776978417266186
boilerpipe	TheIntercept_4.html.gz	0.057500372411738415
boilerpipe	TheNation_0.html.gz	0.15729537366548044
boilerpipe	TheNation_1.html.gz	0.2048283666540928
boilerpipe	TheNation_2.html.gz	0.0668229777256741
boilerpipe	TheNation_3.html.gz	0.09849749582637729
boilerpipe	TheNation_4.html.gz	0.07167630057803469
boilerpipe	TheNewYorker_0.html.gz	0.016070711128967456
boilerpipe	TheNewYorker_1.html.gz	0.5321729957805907
boilerpipe	TheNewYorker_2.html.gz	0.35767326732673266
boilerpipe	TheNewYorker_3.html.gz	0.033122260107160253
boilerpipe	TheNewYorker_4.html.gz	0.0559662090813094
boilerpipe	TheTelegraph_0.html.gz	0.05513784461152882
boilerpipe	TheTelegraph_1.html.gz	0.3891737891737892
boilerpipe	TheTelegraph_2.html.gz	0.7072463768115942
boilerpipe	TheTelegraph_3.html.gz	0.574284920855318
boilerpipe	TheTelegraph_4.html.gz	0.09067017082785808
boilerpipe	WashingtonTimes_0.html.gz	0.22448979591836735
boilerpipe	WashingtonTimes_1.html.gz	0.3012987012987013
boilerpipe	WashingtonTimes_2.html.gz	0.24888888888888888
boilerpipe	WashingtonTimes_3.html.gz	0.21032504780114722
boilerpipe	WashingtonTimes_4.html.gz	0.15780998389694043
boilerpipe	iNews_0.html.gz	0.08710217755443886
boilerpipe	iNews_1.html.gz	0.053951890034364264
boilerpipe	iNews_2.html.gz	0.47698209718670076
boilerpipe	iNews_3.html.gz	0.44329896907216493
boilerpipe	iNews_4.html.gz	0.09603658536585366
bte	APNews_0.html.gz	0.1279317697228145
bte	APNews_1.html.gz	0.3806228373702422
bte	APNews_2.html.gz	0.2540792540792541
bte	APNews_3.html.gz	0.6145833333333334
bte	APNews_4.html.gz	0.2315369261477046
bte	CNBC_0.html.gz	0.024752475247524754
bte	CNBC_1.html.gz	0.13352272727272727
bte	CNBC_2.html.gz	0.02288329519450801
bte	CNBC_3.html.gz	0.12144702842377261
bte	CNBC_4.html.gz	0.021621621621621623
bte	FoxNews_0.html.gz	0.11898274296094459
bte	FoxNews_1.html.gz	0.19111570247933884
bte	FoxNews_2.html.gz	0.4898419864559819
bte	FoxNews_3.html.gz	0.7230769230769231
bte	FoxNews_4.html.gz	0.6881443298969072
bte	FreeBeacon_0.html.gz	0.09163346613545817
bte	FreeBeacon_1.html.gz	0.07849829351535836
bte	FreeBeacon_2.html.gz	0.0
bte	FreeBeacon_3.html.gz	0.0
bte	FreeBeacon_4.html.gz	0.010067114093959731
bte	LATimes_0.html.gz	0.023404255319148935
bte	LATimes_1.html.gz	0.20351302241066022
bte	LATimes_2.html.gz	0.08364451082897685
bte	LATimes_3.html.gz	0.1109350237717908
bte	LATimes_4.html.gz	0.16856492027334852
bte	OccupyDemocrats_0.html.gz	0.18208092485549132
bte	OccupyDemocrats_1.html.gz	0.394990366088632
bte	OccupyDemocrats_2.html.gz	0.08375634517766498
bte	OccupyDemocrats_3.html.gz	0.24663212435233162
bte	OccupyDemocrats_4.html.gz	0.1513647642679901
bte	Reuters_0.html.gz	0.5421686746987951
bte	Reuters_1.html.gz	0.1705685618729097
bte	Reuters_2.html.gz	0.5138888888888888
bte	Reuters_3.html.gz	0.9141104294478528
bte	Reuters_4.html.gz	0.14571092831962398
bte	TheGatewayPundit_0.html.gz	0.9205882352941176
bte	TheGatewayPundit_1.html.gz	1.0438356164383562
bte	TheGatewayPundit_2.html.gz	1.0220820189274449
bte	TheGatewayPundit_3.html.gz	1.4798387096774193
bte	TheGatewayPundit_4.html.gz	0.4845005740528129
bte	TheGuardian_0.html.gz	0.06600547195622435
bte	TheGuardian_1.html.gz	0.19165085388994307
bte	TheGuardian_2.html.gz	0.03444316877152698
bte	TheGuardian_3.html.gz	0.05016447368421053
bte	TheGuardian_4.html.gz	0.019704433497536946
bte	TheIndependent_0.html.gz	1.7675675675675675
bte	TheIndependent_1.html.gz	6.509933774834437
bte	TheIndependent_2.html.gz	0.46062992125984253
bte	TheIndependent_3.html.gz	1.1869639794168096
bte	TheIndependent_4.html.gz	2.6605504587155964
bte	TheIntercept_0.html.gz	0.13845122360040227
bte	TheIntercept_1.html.gz	0.47800925925925924
bte	TheIntercept_2.html.gz	0.1251646903820817
bte	TheIntercept_3.html.gz	1.6115107913669064
bte	TheIntercept_4.html.gz	0.08610159392224043
bte	TheNation_0.html.gz	0.3708185053380783
bte	TheNation_1.html.gz	0.18144096567333082
bte	TheNation_2.html.gz	0.44431418522860494
bte	TheNation_3.html.gz	0.3672787979966611
bte	TheNation_4.html.gz	0.3930635838150289
bte	TheNewYorker_0.html.gz	0.008126777732629013
bte	TheNewYorker_1.html.gz	0.014416315049226441
bte	TheNewYorker_2.html.gz	0.03270440251572327
bte	TheNewYorker_3.html.gz	0.016304347826086956
bte	TheNewYorker_4.html.gz	0.033569367951744034
bte	TheTelegraph_0.html.gz	0.07516891891891891
bte	TheTelegraph_1.html.gz	0.13884140550807217
bte	TheTelegraph_2.html.gz	0.46956521739130436
bte	TheTelegraph_3.html.gz	0.09136351013607331
bte	TheTelegraph_4.html.gz	0.08672798948751642
bte	WashingtonTimes_0.html.gz	0.08979591836734693
bte	WashingtonTimes_1.html.gz	0.16363636363636364
bte	WashingtonTimes_2.html.gz	0.13439635535307518
bte	WashingtonTimes_3.html.gz	0.08795411089866156
bte	WashingtonTimes_4.html.gz	0.08051529790660225
bte	iNews_0.html.gz	0.1423785594639866
bte	iNews_1.html.gz	0.054982817869415807
bte	iNews_2.html.gz	0.0792838874680307
bte	iNews_3.html.gz	0.10612760581174985
bte	iNews_4.html.gz	0.09481707317073171
fundus	APNews_0.html.gz	0.0042643923240938165
fundus	APNews_1.html.gz	0.0
fundus	APNews_2.html.gz	0.0
fundus	APNews_3.html.gz	0.0
fundus	APNews_4.html.gz	0.0
fundus	CNBC_0.html.gz	0.0
fundus	CNBC_1.html.gz	0.0
fundus	CNBC_2.html.gz	0.0
fundus	CNBC_3.html.gz	0.0
fundus	CNBC_4.html.gz	0.0
fundus	FoxNews_0.html.gz	0.00676328502415459
fundus	FoxNews_1.html.gz	0.0
fundus	FoxNews_2.html.gz	0.0
fundus	FoxNews_3.html.gz	0.0
fundus	FoxNews_4.html.gz	0.0
fundus	FreeBeacon_0.html.gz	0.0
fundus	FreeBeacon_1.html.gz	0.0
fundus	FreeBeacon_2.html.gz	0.0
fundus	FreeBeacon_3.html.gz	0.0
fundus	FreeBeacon_4.html.gz	0.0
fundus	LATimes_0.html.gz	0.036170212765957444
fundus	LATimes_1.html.gz	0.0
fundus	LATimes_2.html.gz	0.002987303958177745
fundus	LATimes_3.html.gz	0.008452192287374538
fundus	LATimes_4.html.gz	0.0
fundus	OccupyDemocrats_0.html.gz	0.0
fundus	OccupyDemocrats_1.html.gz	0.0
fundus	OccupyDemocrats_2.html.gz	0.0
fundus	OccupyDemocrats_3.html.gz	0.0
fundus	OccupyDemocrats_4.html.gz	0.0
fundus	Reuters_0.html.gz	0.0
fundus	Reuters_1.html.gz	0.02768166089965398
fundus	Reuters_2.html.gz	0.0
fundus	Reuters_3.html.gz	0.7074829931972789
fundus	Reuters_4.html.gz	0.09203980099502487
fundus	TheGatewayPundit_0.html.gz	0.0
fundus	TheGatewayPundit_1.html.gz	0.06027397260273973
fundus	TheGatewayPundit_2.html.gz	0.5141955835962145
fundus	TheGatewayPundit_3.html.gz	0.04435483870967742
fundus	TheGatewayPundit_4.html.gz	0.0
fundus	TheGuardian_0.html.gz	0.015368852459016393
fundus	TheGuardian_1.html.gz	0.0
fundus	TheGuardian_2.html.gz	0.0
fundus	TheGuardian_3.html.gz	0.012789768185451638
fundus	TheGuardian_4.html.gz	0.0
fundus	TheIndependent_0.html.gz	0.10810810810810811
fundus	TheIndependent_1.html.gz	0.0
fundus	TheIndependent_2.html.gz	0.0
fundus	TheIndependent_3.html.gz	0.0
fundus	TheIndependent_4.html.gz	0.0
fundus	TheIntercept_0.html.gz	0.001006036217303823
fundus	TheIntercept_1.html.gz	0.003472222222222222
fundus	TheIntercept_2.html.gz	0.003952569169960474
fundus	TheIntercept_3.html.gz	0.09352517985611511
fundus	TheIntercept_4.html.gz	0.0026813645166095636
fundus	TheNation_0.html.gz	0.0
fundus	TheNation_1.html.gz	0.0
fundus	TheNation_2.html.gz	0.0
fundus	TheNation_3.html.gz	0.0
fundus	TheNation_4.html.gz	0.0
fundus	TheNewYorker_0.html.gz	0.0
fundus	TheNewYorker_1.html.gz	0.0
fundus	TheNewYorker_2.html.gz	0.0
fundus	TheNewYorker_3.html.gz	0.0
fundus	TheNewYorker_4.html.gz	0.016522423288749016
fundus	TheTelegraph_0.html.gz	0.0
fundus	TheTelegraph_1.html.gz	0.043874643874643876
fundus	TheTelegraph_2.html.gz	0.7596685082872928
fundus	TheTelegraph_3.html.gz	0.0744237711746737
fundus	TheTelegraph_4.html.gz	0.0
fundus	WashingtonTimes_0.html.gz	0.0
fundus	WashingtonTimes_1.html.gz	0.0
fundus	WashingtonTimes_2.html.gz	0.0
fundus	WashingtonTimes_3.html.gz	0.02330097087378641
fundus	WashingtonTimes_4.html.gz	0.0
fundus	iNews_0.html.gz	0.0
fundus	iNews_1.html.gz	0.04054982817869416
fundus	iNews_2.html.gz	0.0
fundus	iNews_3.html.gz	0.007580543272267846
fundus	iNews_4.html.gz	0.11943506294135707
justext	APNews_0.html.gz	0.47974413646055436
justext	APNews_1.html.gz	0.3875432525951557
justext	APNews_2.html.gz	0.337995337995338
justext	APNews_3.html.gz	1.2604166666666667
justext	APNews_4.html.gz	0.2275449101796407
justext	CNBC_0.html.gz	0.03712871287128713
justext	CNBC_1.html.gz	0.30113636363636365
justext	CNBC_2.html.gz	0.019450800915331808
justext	CNBC_3.html.gz	0.1747159090909091
justext	CNBC_4.html.gz	0.2737430167597765
justext	FoxNews_0.html.gz	0.08991825613079019
justext	FoxNews_1.html.gz	0.15867944621938232
justext	FoxNews_2.html.gz	0.2904761904761905
justext	FoxNews_3.html.gz	0.5298013245033113
justext	FoxNews_4.html.gz	0.4603174603174603
justext	FreeBeacon_0.html.gz	0.20119521912350596
justext	FreeBeacon_1.html.gz	0.04436860068259386
justext	FreeBeacon_2.html.gz	0.04072398190045249
justext	FreeBeacon_3.html.gz	0.043668122270742356
justext	FreeBeacon_4.html.gz	0.013422818791946308
justext	LATimes_0.html.gz	0.019148936170212766
justext	LATimes_1.html.gz	0.18049666868564507
justext	LATimes_2.html.gz	0.1530993278566094
justext	LATimes_3.html.gz	0.10829371368198626
justext	LATimes_4.html.gz	0.1480637813211845
justext	OccupyDemocrats_0.html.gz	0.24277456647398843
justext	OccupyDemocrats_1.html.gz	0.3969171483622351
justext	OccupyDemocrats_2.html.gz	0.12563451776649745
justext	OccupyDemocrats_3.html.gz	0.20310880829015543
justext	OccupyDemocrats_4.html.gz	0.23821339950372208
justext	Reuters_0.html.gz	1.2891566265060241
justext	Reuters_1.html.gz	0.1806020066889632
justext	Reuters_2.html.gz	0.7222222222222222
justext	Reuters_3.html.gz	0.950920245398773
